user_id,address,birth,card_company,card_number,email,first_name,gender,last_name,mbti,mbti_list,name,passport,password,phone_number,reg_date,username
,서울 강남구,1992-09-13,master,1234567891011120 ,test@gmail.com,yy,여,kim,entp,eeensntftppj,장서은,p12345689,1234,010-1234-5689,2021. 01. 22.,l1kjh
,서울 강남구,1994-12-07,visa,1234567891011120 ,test@gmail.com,yy,여,kim,estj,eeisnstftjpj,정수림,p12345690,1234,010-1234-5690,2021. 01. 22.,p1oyt
,서울 강남구,1989-01-05,master,1234567891011120 ,test@gmail.com,yy,여,kim,esfj,eeinssfftjjj,박여정,p12345691,1234,010-1234-5691,2021. 01. 22.,d1fgh
,서울 강남구,2000-06-05,visa,1234567891011120 ,test@gmail.com,yy,여,kim,enfj,eeennntffjjp,정여림,p12345692,1234,010-1234-5692,2021. 01. 22.,s1dfg
,서울 강남구,1996-10-17,master,1234567891011120 ,test@gmail.com,yy,여,kim,entj,eeinnntftjjj,김수현,p12345693,1234,010-1234-5693,2021. 01. 22.,fg1hj
,서울 강남구,1997-01-01,visa,1234567891011120 ,test@gmail.com,yy,남,kim,istj,iiessntftjjj,김정성,p12345694,1234,010-1234-5694,2021. 01. 22.,ki1m11
,서울 강남구,1997-06-13,master,1234567891011120 ,test@gmail.com,yy,남,kim,isfj,iiesssfffjjp,박영수,p12345695,1234,010-1234-5695,2021. 01. 22.,qw1er1
,서울 강남구,1988-04-13,visa,1234567891011120 ,test@gmail.com,yy,남,kim,infj,iiinsnfffpjj,이병영,p12345696,1234,010-1234-5696,2021. 12. 22.,as1df1
,서울 강남구,1999-11-17,master,1234567891011120 ,test@gmail.com,yy,남,kim,intj,iiisnnttfjjj,김하성,p12345697,1234,010-1234-5697,2021. 12. 22.,po1iu1
,서울 강남구,1992-05-16,visa,1234567891011120 ,test@gmail.com,yy,남,kim,istp,iiesnstttjpp,김구영,p12345698,1234,010-1234-5698,2021. 12. 22.,kj1hg1
,서울 강남구,1998-08-14,master,1234567891011120 ,test@gmail.com,yy,남,kim,isfp,iiissntffpjp,박소수,p12345699,1234,010-1234-5699,2021. 12. 22.,df1gh1
,서울 강남구,2000-08-24,visa,1234567891011120 ,test@gmail.com,yy,남,kim,infp,iiennnftfpjp,이병수,p12345700,1234,010-1234-5700,2021. 12. 22.,z1xcc1
,서울 강남구,1996-11-21,master,1234567891011120 ,test@gmail.com,yy,남,kim,intp,iiinnntttppp,정영수,p12345701,1234,010-1234-5701,2021. 12. 22.,gf1ds1
,서울 강남구,1989-11-05,visa,1234567891011120 ,test@gmail.com,yy,남,kim,estp,eeesnsttfppp,윤영,p12345702,1234,010-1234-5702,2021. 12. 22.,df1sa1
,서울 강남구,1981-05-06,master,1234567891011120 ,test@gmail.com,yy,남,kim,esfp,eiesssftfpjp,박지성,p12345703,1234,010-1234-5703,2021. 12. 22.,g1fry1
,서울 강남구,1989-11-27,visa,1234567891011120 ,test@gmail.com,yy,남,kim,enfp,eeinsnfffppp,이정영,p12345704,1234,010-1234-5704,2021. 12. 22.,kj1hg1
,서울 강남구,2000-10-13,master,1234567891011120 ,test@gmail.com,yy,남,kim,entp,ieennntftppj,장은서,p12345705,1234,010-1234-5705,2021. 12. 22.,lkjh1
,서울 강남구,1994-12-07,visa,1234567891011120 ,test@gmail.com,yy,남,kim,estj,eeensstftjjp,정영우,p12345706,1234,010-1234-5706,2021. 12. 22.,poy1t1
,서울 강남구,1989-01-05,master,1234567891011120 ,test@gmail.com,yy,남,kim,esfj,eiesnsfftjpj,박운정,p12345707,1234,010-1234-5707,2021. 12. 22.,dfgh11
,서울 강남구,1998-06-05,visa,1234567891011120 ,test@gmail.com,yy,남,kim,enfj,eeennstffjjj,정수은,p12345708,1234,010-1234-5708,2021. 12. 22.,sdf1g1
,서울 강남구,2001-10-17,master,1234567891011120 ,test@gmail.com,yy,남,kim,entj,eeinnntftjpj,김현우,p12345709,1234,010-1234-5709,2021. 12. 22.,fg1hj1
,서울 강남구,2001-10-17,visa,1234567891011120 ,test@gmail.com,yy,여,kim,istj,ieissstttjjj,김정화,p12345710,1234,010-1234-5710,2021. 12. 22.,ki1m2
,서울 강남구,1990-01-01,master,1234567891011120 ,test@gmail.com,yy,여,kim,isfj,iiessnftfjjp,박정수,p12345711,1234,010-1234-5711,2021. 12. 22.,qw2er
,서울 강남구,1991-04-13,visa,1234567891011120 ,test@gmail.com,yy,남,kim,infj,eiinsnftfjjj,이은영,p12345712,1234,010-1234-5712,2021. 12. 22.,as2df
,서울 강남구,1992-04-13,master,1234567891011120 ,test@gmail.com,yy,남,kim,intj,iiennnttfpjj,김하하,p12345713,1234,010-1234-5713,2021. 12. 22.,po2iu
,서울 강남구,1989-11-17,visa,1234567891011120 ,test@gmail.com,yy,남,kim,istp,iiesnsfttppp,김구,p12345714,1234,010-1234-5714,2021. 12. 22.,kj2hg
,서울 강남구,1992-05-16,master,1234567891011120 ,test@gmail.com,yy,남,kim,isfp,iiessstffpjp,박소영,p12345715,1234,010-1234-5715,2021. 12. 22.,df2gh
,서울 강남구,1993-07-14,visa,1234567891011120 ,test@gmail.com,yy,남,kim,infp,irinsnftfpjp,이인자,p12345716,1234,010-1234-5716,2021. 12. 22.,zx2cc
,서울 강남구,2000-08-24,master,1234567891011120 ,test@gmail.com,yy,남,kim,intp,iiisnntftppp,정수수,p12345717,1234,010-1234-5717,2021. 12. 22.,gf2ds
,서울 강남구,1985-11-21,visa,1234567891011120 ,test@gmail.com,yy,남,kim,estp,eeesnsttfjpp,윤선영,p12345718,1234,010-1234-5718,2021. 12. 22.,df2sa
,서울 강남구,2000-11-05,master,1234567891011120 ,test@gmail.com,yy,남,kim,esfp,eiessnftfpjp,박지혜,p12345719,1234,010-1234-5719,2021. 12. 22.,gf2ry
,서울 강남구,1994-05-06,visa,1234567891011120 ,test@gmail.com,yy,남,kim,enfp,eeennnfftppp,이수영,p12345720,1234,010-1234-5720,2021. 12. 22.,kj2hg
,서울 강남구,1998-11-27,master,1234567891011120 ,test@gmail.com,yy,남,kim,entp,eeensntftppj,장서은,p12345721,1234,010-1234-5721,2021. 12. 22.,l2kjh
,서울 강남구,1992-09-13,visa,1234567891011120 ,test@gmail.com,yy,남,kim,estj,eeisnstftjpj,정수림,p12345722,1234,010-1234-5722,2021. 12. 22.,p2oyt
,서울 강남구,1994-12-07,master,1234567891011120 ,test@gmail.com,yy,남,kim,esfj,eeinssfftjjj,박여정,p12345723,1234,010-1234-5723,2021. 12. 22.,d2fgh
,서울 강남구,1989-01-05,visa,1234567891011120 ,test@gmail.com,yy,남,kim,enfj,eeennntffjjp,정여림,p12345724,1234,010-1234-5724,2021. 12. 22.,s2dfg
,서울 강남구,2000-06-05,master,1234567891011120 ,test@gmail.com,yy,남,kim,entj,eeinnntftjjj,김수현,p12345725,1234,010-1234-5725,2021. 12. 22.,fg2hj
,서울 강남구,1996-10-17,visa,1234567891011120 ,test@gmail.com,yy,남,kim,istj,iiessntftjjj,김정성,p12345726,1234,010-1234-5726,2021. 12. 22.,ki1m12
,서울 강남구,1997-01-01,master,1234567891011120 ,test@gmail.com,yy,남,kim,isfj,iiesssfffjjp,박영수,p12345727,1234,010-1234-5727,2021. 12. 22.,qw1er2
,서울 강남구,1997-06-13,visa,1234567891011120 ,test@gmail.com,yy,여,kim,infj,iiinsnfffpjj,이병영,p12345728,1234,010-1234-5728,2021. 12. 22.,as1df2
,서울 강남구,1988-04-13,master,1234567891011120 ,test@gmail.com,yy,여,kim,intj,iiisnnttfjjj,김하성,p12345729,1234,010-1234-5729,2021. 12. 22.,po1iu2
,서울 강남구,1999-11-17,visa,1234567891011120 ,test@gmail.com,yy,남,kim,istp,iiesnstttjpp,김구영,p12345730,1234,010-1234-5730,2021. 12. 22.,kj1hg2
,서울 강남구,1992-05-16,master,1234567891011120 ,test@gmail.com,yy,남,kim,isfp,iiissntffpjp,박소수,p12345731,1234,010-1234-5731,2021. 12. 22.,df1gh2
,서울 강남구,1998-08-14,visa,1234567891011120 ,test@gmail.com,yy,남,kim,infp,iiennnftfpjp,이병수,p12345732,1234,010-1234-5732,2021. 12. 22.,z1xcc2
,서울 강남구,2000-08-24,master,1234567891011120 ,test@gmail.com,yy,남,kim,intp,iiinnntttppp,정영수,p12345733,1234,010-1234-5733,2021. 12. 22.,gf1ds2
,서울 강남구,1996-11-21,visa,1234567891011120 ,test@gmail.com,yy,남,kim,estp,eeesnsttfppp,윤영,p12345734,1234,010-1234-5734,2021. 12. 22.,df1sa2
,서울 강남구,1989-11-05,master,1234567891011120 ,test@gmail.com,yy,남,kim,esfp,eiesssftfpjp,박지성,p12345735,1234,010-1234-5735,2021. 12. 22.,g1fry2
,서울 강남구,1981-05-06,visa,1234567891011120 ,test@gmail.com,yy,남,kim,enfp,eeinsnfffppp,이정영,p12345736,1234,010-1234-5736,2021. 12. 22.,kj1hg2
,서울 강남구,1989-11-27,master,1234567891011120 ,test@gmail.com,yy,남,kim,entp,ieennntftppj,장은서,p12345737,1234,010-1234-5737,2021. 12. 22.,lkjh2
,서울 강남구,2000-10-13,visa,1234567891011120 ,test@gmail.com,yy,남,kim,estj,eeensstftjjp,정영우,p12345738,1234,010-1234-5738,2021. 12. 22.,poy1t2
,서울 강남구,1994-12-07,master,1234567891011120 ,test@gmail.com,yy,남,kim,esfj,eiesnsfftjpj,박운정,p12345739,1234,010-1234-5739,2021. 12. 22.,dfgh12
,서울 강남구,1989-01-05,visa,1234567891011120 ,test@gmail.com,yy,남,kim,enfj,eeennstffjjj,정수은,p12345740,1234,010-1234-5740,2021. 12. 22.,sdf1g2
,서울 강남구,1998-06-05,master,1234567891011120 ,test@gmail.com,yy,남,kim,entj,eeinnntftjpj,김현우,p12345741,1234,010-1234-5741,2021. 12. 22.,fg1hj2
,서울 강남구,2001-10-17,visa,1234567891011120 ,test@gmail.com,yy,남,kim,istj,ieissstttjjj,김정화,p12345742,1234,010-1234-5742,2021. 12. 22.,ki1m3
,서울 강남구,2001-10-17,visa,1234567891011120 ,test@gmail.com,yy,남,kim,isfj,iiessnftfjjp,박정수,p12345743,1234,010-1234-5743,2021. 12. 22.,qw3er
,서울 강남구,2000-11-05,master,1234567891011120 ,test@gmail.com,yy,남,kim,infj,eiinsnftfjjj,이은영,p12345744,1234,010-1234-5744,2021. 12. 22.,as3df
,서울 강남구,1994-05-06,visa,1234567891011120 ,test@gmail.com,yy,남,kim,intj,iiennnttfpjj,김하하,p12345745,1234,010-1234-5745,2021. 12. 22.,po3iu
,서울 강남구,1998-11-27,master,1234567891011120 ,test@gmail.com,yy,여,kim,istp,iiesnsfttppp,김구,p12345746,1234,010-1234-5746,2021. 12. 22.,kj3hg
,서울 강남구,1992-09-13,visa,1234567891011120 ,test@gmail.com,yy,여,kim,isfp,iiessstffpjp,박소영,p12345747,1234,010-1234-5747,2021. 12. 22.,df3gh
,서울 강남구,1994-12-07,visa,1234567891011120 ,test@gmail.com,yy,남,kim,infp,irinsnftfpjp,이인자,p12345748,1234,010-1234-5748,2021. 12. 22.,zx3cc
,서울 강남구,1989-01-05,visa,1234567891011120 ,test@gmail.com,yy,남,kim,intp,iiisnntftppp,정수수,p12345749,1234,010-1234-5749,2021. 12. 22.,gf3ds
,서울 강남구,2000-06-05,master,1234567891011130 ,test@gmail.com,yy,남,kim,estp,eeesnsttfjpp,윤선영,p12345750,1234,010-1234-5750,2021. 12. 22.,df3sa
,서울 강남구,1996-10-17,visa,1234567891011130 ,test@gmail.com,yy,남,kim,esfp,eiessnftfpjp,박지혜,p12345751,1234,010-1234-5751,2021. 12. 22.,gf3ry
,서울 강남구,1997-01-01,master,1234567891011130 ,test@gmail.com,yy,남,kim,enfp,eeennnfftppp,이수영,p12345752,1234,010-1234-5752,2021. 12. 22.,kj3hg
,서울 강남구,1997-06-13,visa,1234567891011130 ,test@gmail.com,yy,남,kim,entp,eeensntftppj,장서은,p12345753,1234,010-1234-5753,2021. 12. 22.,l3kjh
,서울 강남구,1988-04-13,visa,1234567891011130 ,test@gmail.com,yy,남,kim,estj,eeisnstftjpj,정수림,p12345754,1234,010-1234-5754,2021. 12. 22.,p3oyt
,서울 강남구,1999-11-17,master,1234567891011130 ,test@gmail.com,yy,남,kim,esfj,eeinssfftjjj,박여정,p12345755,1234,010-1234-5755,2021. 12. 22.,d3fgh
,서울 강남구,1992-05-16,visa,1234567891011130 ,test@gmail.com,yy,남,kim,enfj,eeennntffjjp,정여림,p12345756,1234,010-1234-5756,2021. 12. 22.,s3dfg
,서울 강남구,1998-08-14,master,1234567891011130 ,test@gmail.com,yy,남,kim,entj,eeinnntftjjj,김수현,p12345757,1234,010-1234-5757,2021. 12. 22.,fg3hj
,서울 강남구,2000-08-24,visa,1234567891011130 ,test@gmail.com,yy,남,kim,istj,iiessntftjjj,김정성,p12345758,1234,010-1234-5758,2021. 12. 22.,ki1m13
,서울 강남구,1996-11-21,visa,1234567891011130 ,test@gmail.com,yy,남,kim,isfj,iiesssfffjjp,박영수,p12345759,1234,010-1234-5759,2021. 12. 22.,qw1er3
,서울 강남구,1989-11-05,visa,1234567891011140 ,test@gmail.com,yy,남,kim,infj,iiinsnfffpjj,이병영,p12345760,1234,010-1234-5760,2021. 12. 22.,as1df3
,서울 강남구,1981-05-06,master,1234567891011140 ,test@gmail.com,yy,남,kim,intj,iiisnnttfjjj,김하성,p12345761,1234,010-1234-5761,2021. 12. 22.,po1iu3
,서울 강남구,1989-11-27,visa,1234567891011140 ,test@gmail.com,yy,남,kim,istp,iiesnstttjpp,김구영,p12345762,1234,010-1234-5762,2021. 12. 22.,kj1hg3
,서울 강남구,2000-10-13,master,1234567891011140 ,test@gmail.com,yy,남,kim,isfp,iiissntffpjp,박소수,p12345763,1234,010-1234-5763,2021. 12. 22.,df1gh3
,서울 강남구,1994-12-07,visa,1234567891011140 ,test@gmail.com,yy,여,kim,infp,iiennnftfpjp,이병수,p12345764,1234,010-1234-5764,2021. 12. 22.,z1xcc3
,서울 강남구,1989-01-05,visa,1234567891011140 ,test@gmail.com,yy,여,kim,intp,iiinnntttppp,정영수,p12345765,1234,010-1234-5765,2021. 12. 22.,gf1ds3
,서울 강남구,1998-06-05,master,1234567891011140 ,test@gmail.com,yy,남,kim,estp,eeesnsttfppp,윤영,p12345766,1234,010-1234-5766,2021. 12. 22.,df1sa3
,서울 강남구,2001-10-17,visa,1234567891011140 ,test@gmail.com,yy,남,kim,esfp,eiesssftfpjp,박지성,p12345767,1234,010-1234-5767,2021. 12. 22.,g1fry3
,서울 강남구,2001-10-17,master,1234567891011140 ,test@gmail.com,yy,남,kim,enfp,eeinsnfffppp,이정영,p12345768,1234,010-1234-5768,2021. 12. 22.,kj1hg3
,서울 강남구,2000-11-05,visa,1234567891011140 ,test@gmail.com,yy,남,kim,entp,ieennntftppj,장은서,p12345769,1234,010-1234-5769,2021. 12. 22.,lkjh3
,서울 강남구,1994-05-06,visa,1234567891011150 ,test@gmail.com,yy,남,kim,estj,eeensstftjjp,정영우,p12345770,1234,010-1234-5770,2021. 12. 22.,poy1t3
,서울 강남구,1998-11-27,visa,1234567891011150 ,test@gmail.com,yy,남,kim,esfj,eiesnsfftjpj,박운정,p12345771,1234,010-1234-5771,2021. 12. 22.,dfgh13
,서울 강남구,1992-09-13,master,1234567891011150 ,test@gmail.com,yy,남,kim,enfj,eeennstffjjj,정수은,p12345772,1234,010-1234-5772,2021. 12. 22.,sdf1g3
,서울 강남구,1994-12-07,visa,1234567891011150 ,test@gmail.com,yy,남,kim,entj,eeinnntftjpj,김현우,p12345773,1234,010-1234-5773,2021. 12. 22.,fg1hj3
,서울 강남구,1989-01-05,master,1234567891011150 ,test@gmail.com,yy,남,kim,istj,ieissstttjjj,김정화,p12345774,1234,010-1234-5774,2021. 12. 22.,ki1m4
,서울 강남구,2000-06-05,visa,1234567891011150 ,test@gmail.com,yy,남,kim,isfj,iiessnftfjjp,박정수,p12345775,1234,010-1234-5775,2021. 12. 22.,qw4er
,서울 강남구,1996-10-17,visa,1234567891011150 ,test@gmail.com,yy,남,kim,infj,eiinsnftfjjj,이은영,p12345776,1234,010-1234-5776,2021. 12. 22.,as4df
,서울 강남구,1997-01-01,master,1234567891011150 ,test@gmail.com,yy,남,kim,intj,iiennnttfpjj,김하하,p12345777,1234,010-1234-5777,2021. 12. 22.,po4iu
,서울 강남구,1997-06-13,visa,1234567891011150 ,test@gmail.com,yy,남,kim,istp,iiesnsfttppp,김구,p12345778,1234,010-1234-5778,2021. 12. 22.,kj4hg
